P0,P1,TYPE,BSURF
3.4531211813,4.52E-15,RRAT,4e+12
0.003594091653371,10.9E-21,HE,2e+08
0.26743960987,2.083598E-13,HE,7.55e+12
7.05520287,2.98E-14,XINS,1.47e+13
0.139760064515,3.11674E-14,HE,2.11e+12
0.0023840129012370,3.8E-21,HE,9.63e+07
0.0027933649560078,3.5761E-20,HE,3.2e+08
0.00174239994990564,9.1993E-21,HE,1.28e+08
0.0035978980188911,1.043E-20,HE,1.96e+08
0.1115241364978,3.587895E-14,NRAD,2.02e+12
0.106632746266,8.68208E-14,HE,3.08e+12
5.198346,9.2E-11,AXP,7e+14
0.00256439267063484,1.3835E-20,HE,1.91e+08
0.741761952452,3.2239E-15,RRAT,1.56e+12
0.16325053678621,1.76202754E-14,HE,1.72e+12
0.035909978882125,3.38144637E-15,HE,3.53e+11
0.9233913866507,8.67761E-15,RRAT,2.86e+12
1.18102329730,2.123644E-13,HE,1.6e+13
2.081343459724,1.7050E-15,RRAT,1.91e+12
0.0024963718144300,19.35E-21,HE,2.22e+08
0.00264634144946923,3.8196E-20,HE,3.22e+08
0.0756589884532,10.46782E-15,HE,9.01e+11
0.0687304058253,13.190700E-15,HE,9.64e+11
0.136855046957,7.5057E-13,HE,1.03e+13
0.2265187466568,1.156826E-15,HE,5.18e+11
0.208217649267,9.317144E-14,NRAD,4.46e+12
0.14446976514,5.75717E-14,HE,2.92e+12
0.001557806567041489,1.0510272E-19,HE,4.09e+08
0.00317013917902887,3.164E-21,HE,1.01e+08
0.0043047754832565,1.8805E-20,HE,2.88e+08
0.0395311928548,5.844803E-15,HE,4.86e+11
0.0927090547,2.1163E-14,NRAD,1.42e+12
0.003961655342404,2.744E-20,HE,3.34e+08
0.374806686188,7.08385E-15,NRAD,1.65e+12
0.29038924475,2.12038E-13,NRAD,7.94e+12
0.00160740168480632,1.68515E-20,HE,1.67e+08
0.00216355679356697,3.30E-21,HE,8.56e+07
0.16369523645,24.872E-15,HE,2.04e+12
4.3523029680,7.20e-16,RRAT,1.79e+12
0.002896215816722975,7.9931E-21,HE,1.54e+08
0.0023142872649224,2.45E-21,HE,7.62e+07
0.1667491790418,1.35985E-15,NRAD,4.82e+11
0.103740952074,9.57209E-14,HE,3.19e+12
0.26531766093,5.4682E-14,NRAD,3.85e+12
0.048578779636,8.61E-14,HE,2.07e+12
0.1767074151138,4.85753E-15,NRAD,9.38e+11
0.200129328168,6.50071E-15,HE,1.15e+12
0.22707017739,6.4843E-15,NRAD,1.23e+12
0.14324647,1.13E-14,HE,1.29e+12
5.01340011141,9.6927E-15,RRAT,7.05e+12
0.003650,1.72e-21,NRAD,8.02e+07
0.003275041551028,8.43E-21,HE,1.68e+08
0.0026509071060649,1.4164E-20,HE,1.96e+08
0.0045337267023282,14.03E-21,HE,2.55e+08
0.002379878924013453,5.24431E-21,HE,1.13e+08
0.09613056295,1.27E-15,HE,3.54e+11
0.0042859279108027,2.0801E-20,HE,3.02e+08
0.00450864182000643,1.2733E-20,HE,2.42e+08
0.00198525628181868,6.7037E-21,HE,1.17e+08
0.00216,2.019E-20,HE,2.11e+08
0.319561441417,4.10240E-15,NRAD,1.16e+12
2.30487883766,5.2190E-15,RRAT,3.51e+12
0.157829924735,1.430393E-13,NRAD,4.81e+12
0.002602876738872,74.9E-21,HE,4.47e+08
0.002219,1.76e-21,HE,6.33e+07
0.00493111494511372,2.056952E-20,HE,3.22e+08
0.282849345409,1.7857E-15,NRAD,7.19e+11
9.42822888,4.1E-14,XINS,1.99e+13
0.00241554794898110,1.979391E-20,HE,2.21e+08
0.636957393614,5.2832E-15,HE,1.86e+12
0.003119226581323024,1.47285E-20,HE,2.17e+08
2.7230498235,5.6E-15,RRAT,3.94e+12
0.0026096197234461,3.34E-20,HE,2.99e+08
0.05164758740,7.73871E-14,HE,2.02e+12
0.003627027895734231,2.01003E-20,HE,2.73e+08
1.0773950915,8.1E-16,RRAT,9.47e+11
0.162733852990,9.7034E-14,NRAD,4.02e+12
0.1399345,1.5358E-14,HE,1.48e+12
0.0021866997725548446,6.89656E-21,HE,1.24e+08
0.00229453181696499,1.13535E-20,HE,1.63e+08
6.9790709703,4.7123E-13,AXP,5.8e+13
0.00519232464875420,1.38681E-20,HE,2.72e+08
0.0026125867919415,4.96E-21,HE,1.15e+08
1.9447889728,7.6E-17,RRAT,3.88e+11
0.868735115025,1.0287E-15,RRAT,9.57e+11
0.00288422674154723,1.4102E-20,HE,2.04e+08
1.09439626470,4.2E-16,RRAT,6.85e+11
